time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_x,hit_y,hit_z
0.5184,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5184,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5184,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5333,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5333,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5333,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5477,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5477,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5477,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5618,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5618,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5618,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5750,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5750,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5750,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5893,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5893,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5893,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6030,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6030,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6030,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6191,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6191,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6191,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6293,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6293,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6293,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6445,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6445,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6445,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6595,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6595,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6595,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6709,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6709,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6709,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6865,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6865,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6865,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7007,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7007,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7007,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7130,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7130,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7130,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7287,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7287,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7287,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7432,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7432,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7432,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7562,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7562,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7562,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7706,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7706,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7706,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7840,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7840,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7840,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7982,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7982,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7982,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8122,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8122,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8122,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8259,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8259,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8259,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8463,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8463,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.8463,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.9273,Left,0.4664,1.5100,-3.2026,-0.0341,-0.1811,0.9829,,0.0000,0.0000,0.0000
0.9273,Right,0.0117,1.5618,-3.1563,-0.0910,-0.1725,0.9808,,0.0000,0.0000,0.0000
0.9273,Combined,0.0117,1.5618,-3.1563,0.1339,0.3449,0.9291,,0.0000,0.0000,0.0000
0.9532,Left,0.4664,1.5097,-3.2021,0.0912,0.0068,0.9958,,0.0000,0.0000,0.0000
0.9532,Right,0.0117,1.5615,-3.1561,0.0354,0.0134,0.9993,,0.0000,0.0000,0.0000
0.9532,Combined,0.0117,1.5615,-3.1561,0.1329,0.3411,0.9306,,0.0000,0.0000,0.0000
0.9840,Left,0.4661,1.5092,-3.1993,0.0891,0.0205,0.9958,,0.0000,0.0000,0.0000
0.9840,Right,0.0111,1.5600,-3.1553,0.0336,0.0269,0.9991,,0.0000,0.0000,0.0000
0.9840,Combined,0.0111,1.5600,-3.1553,0.1265,0.3225,0.9381,,0.0000,0.0000,0.0000
1.0054,Left,0.4655,1.5080,-3.1971,0.0850,0.0112,0.9963,,0.0000,0.0000,0.0000
1.0054,Right,0.0102,1.5587,-3.1547,0.0295,0.0177,0.9994,,0.0000,0.0000,0.0000
1.0054,Combined,0.0102,1.5587,-3.1547,0.1225,0.3130,0.9418,,0.0000,0.0000,0.0000
1.0335,Left,0.4655,1.5090,-3.1939,0.0648,-0.0032,0.9979,,0.0000,0.0000,0.0000
1.0335,Right,0.0098,1.5575,-3.1541,0.0092,0.0031,1.0000,item 1,0.2373,1.6342,21.5024
1.0335,Combined,0.0098,1.5575,-3.1541,0.1145,0.2975,0.9478,,0.0000,0.0000,0.0000
1.0610,Left,0.4654,1.5092,-3.1911,0.0585,-0.0177,0.9981,,0.0000,0.0000,0.0000
1.0610,Right,0.0094,1.5564,-3.1533,0.0030,-0.0115,0.9999,,0.0000,0.0000,0.0000
1.0610,Combined,0.0094,1.5564,-3.1533,0.1084,0.2828,0.9530,,0.0000,0.0000,0.0000
1.0891,Left,0.4650,1.5087,-3.1882,0.0527,-0.0321,0.9981,,0.0000,0.0000,0.0000
1.0891,Right,0.0088,1.5553,-3.1524,-0.0029,-0.0260,0.9997,,0.0000,0.0000,0.0000
1.0891,Combined,0.0088,1.5553,-3.1524,0.1025,0.2685,0.9578,,0.0000,0.0000,0.0000
1.1169,Left,0.4650,1.5086,-3.1876,0.0576,0.0044,0.9983,,0.0000,0.0000,0.0000
1.1169,Right,0.0088,1.5551,-3.1522,0.0023,0.0104,0.9999,item 1,0.0661,1.8105,21.5024
1.1169,Combined,0.0088,1.5551,-3.1522,0.1014,0.2665,0.9585,,0.0000,0.0000,0.0000
1.1793,Left,0.4647,1.5081,-3.1848,0.0574,0.0006,0.9983,,0.0000,0.0000,0.0000
1.1793,Right,0.0082,1.5536,-3.1515,0.0023,0.0064,1.0000,item 1,0.0644,1.7122,21.5024
1.1793,Combined,0.0082,1.5536,-3.1515,0.0950,0.2476,0.9642,,0.0000,0.0000,0.0000
1.1961,Left,0.4644,1.5073,-3.1819,0.0716,0.0331,0.9969,,0.0000,0.0000,0.0000
1.1961,Right,0.0076,1.5520,-3.1508,0.0168,0.0387,0.9991,,0.0000,0.0000,0.0000
1.1961,Combined,0.0076,1.5520,-3.1508,0.0886,0.2303,0.9691,,0.0000,0.0000,0.0000
1.2247,Left,0.4633,1.5054,-3.1716,0.0511,-0.0166,0.9986,,0.0000,0.0000,0.0000
1.2247,Right,0.0058,1.5474,-3.1483,-0.0037,-0.0113,0.9999,,0.0000,0.0000,0.0000
1.2247,Combined,0.0058,1.5474,-3.1483,0.0662,0.1751,0.9823,,0.0000,0.0000,0.0000
1.2528,Left,0.4626,1.5056,-3.1667,0.0408,-0.0362,0.9985,,0.0000,0.0000,0.0000
1.2528,Right,0.0048,1.5460,-3.1473,-0.0141,-0.0310,0.9994,,0.0000,0.0000,0.0000
1.2528,Combined,0.0048,1.5460,-3.1473,0.0556,0.1554,0.9863,,0.0000,0.0000,0.0000
1.2812,Left,0.4627,1.5049,-3.1652,0.0421,-0.0158,0.9990,,0.0000,0.0000,0.0000
1.2812,Right,0.0049,1.5458,-3.1471,-0.0125,-0.0107,0.9999,,0.0000,0.0000,0.0000
1.2812,Combined,0.0049,1.5458,-3.1471,0.0527,0.1550,0.9865,,0.0000,0.0000,0.0000
1.3094,Left,0.4620,1.5035,-3.1605,0.0420,-0.0120,0.9990,,0.0000,0.0000,0.0000
1.3094,Right,0.0040,1.5443,-3.1461,-0.0125,-0.0070,0.9999,item 1,-0.3040,1.3710,21.5024
1.3094,Combined,0.0040,1.5443,-3.1461,0.0432,0.1352,0.9899,,0.0000,0.0000,0.0000
1.3370,Left,0.4615,1.5030,-3.1557,0.0324,-0.0305,0.9990,,0.0000,0.0000,0.0000
1.3370,Right,0.0033,1.5428,-3.1449,-0.0221,-0.0256,0.9994,,0.0000,0.0000,0.0000
1.3370,Combined,0.0033,1.5428,-3.1449,0.0334,0.1174,0.9925,,0.0000,0.0000,0.0000
1.3650,Left,0.4610,1.5024,-3.1516,-0.1020,-0.0442,0.9938,item 3,-1.3025,0.7375,14.0284
1.3650,Right,0.0027,1.5413,-3.1440,-0.1555,-0.0382,0.9871,item 3,-2.6751,0.8831,13.8566
1.3650,Combined,0.0027,1.5413,-3.1440,0.0249,0.0995,0.9947,,0.0000,0.0000,0.0000
1.3927,Left,0.4605,1.5022,-3.1473,-0.1100,-0.0619,0.9920,item 3,-1.4504,0.4271,14.0791
1.3927,Right,0.0021,1.5397,-3.1429,-0.1635,-0.0559,0.9850,item 3,-2.9017,0.5470,14.3534
1.3927,Combined,0.0021,1.5397,-3.1429,0.0163,0.0828,0.9964,,0.0000,0.0000,0.0000
1.4217,Left,0.4599,1.5025,-3.1434,-0.1178,-0.0782,0.9900,item 3,-1.6329,0.1133,14.4439
1.4217,Right,0.0013,1.5385,-3.1419,-0.1712,-0.0722,0.9826,,0.0000,0.0000,0.0000
1.4217,Combined,0.0013,1.5385,-3.1419,0.0087,0.0668,0.9977,,0.0000,0.0000,0.0000
1.4491,Left,0.4594,1.5024,-3.1396,-0.0979,-0.0716,0.9926,,0.0000,0.0000,0.0000
1.4491,Right,0.0007,1.5370,-3.1408,-0.1514,-0.0661,0.9863,item 3,-2.6499,0.3798,14.1211
1.4491,Combined,0.0007,1.5370,-3.1408,0.0013,0.0518,0.9987,,0.0000,0.0000,0.0000
1.4770,Left,0.4588,1.5022,-3.1358,-0.0992,-0.0510,0.9938,item 3,-1.2675,0.6157,14.1506
1.4770,Right,0.0000,1.5355,-3.1399,-0.1526,-0.0458,0.9872,item 3,-2.6257,0.7471,13.8512
1.4770,Combined,0.0000,1.5355,-3.1399,-0.0061,0.0365,0.9993,,0.0000,0.0000,0.0000
1.5045,Left,0.4581,1.5026,-3.1315,-0.1019,-0.0364,0.9941,item 3,-1.2976,0.8760,13.9914
1.5045,Right,-0.0008,1.5343,-3.1389,-0.1550,-0.0315,0.9874,item 3,-2.6672,0.9920,13.8417
1.5045,Combined,-0.0008,1.5343,-3.1389,-0.0147,0.0215,0.9997,item 1,-0.3627,2.0643,21.5024
1.5324,Left,0.4571,1.5017,-3.1270,-0.0992,-0.0304,0.9946,item 3,-1.2550,0.9769,14.0329
1.5324,Right,-0.0017,1.5330,-3.1381,-0.1523,-0.0258,0.9880,item 3,-2.6138,1.0905,13.8081
1.5324,Combined,-0.0017,1.5330,-3.1381,-0.0235,0.0076,0.9997,,0.0000,0.0000,0.0000
1.5611,Left,0.4560,1.4996,-3.1230,-0.0956,-0.0260,0.9951,item 3,-1.2002,1.0489,14.1159
1.5611,Right,-0.0027,1.5316,-3.1373,-0.1486,-0.0215,0.9887,item 3,-2.5448,1.1640,13.7762
1.5611,Combined,-0.0027,1.5316,-3.1373,-0.0317,-0.0059,0.9995,,0.0000,0.0000,0.0000
1.5889,Left,0.4551,1.4987,-3.1185,-0.1041,-0.0365,0.9939,item 3,-1.3333,0.8726,13.9520
1.5889,Right,-0.0034,1.5308,-3.1365,-0.1571,-0.0319,0.9871,item 3,-2.7109,0.9818,13.8778
1.5889,Combined,-0.0034,1.5308,-3.1365,-0.0402,-0.0162,0.9991,,0.0000,0.0000,0.0000
1.6168,Left,0.4541,1.4981,-3.1141,-0.1043,-0.0304,0.9941,item 3,-1.3352,0.9760,13.9387
1.6168,Right,-0.0043,1.5302,-3.1357,-0.1572,-0.0259,0.9872,item 3,-2.7145,1.0833,13.8854
1.6168,Combined,-0.0043,1.5302,-3.1357,-0.0486,-0.0221,0.9986,,0.0000,0.0000,0.0000
1.6448,Left,0.4531,1.4968,-3.1099,-0.0909,-0.0228,0.9956,item 3,-1.1329,1.0998,14.2585
1.6448,Right,-0.0050,1.5297,-3.1351,-0.1439,-0.0184,0.9894,item 3,-2.4597,1.2155,13.7438
1.6448,Combined,-0.0050,1.5297,-3.1351,-0.0568,-0.0260,0.9980,,0.0000,0.0000,0.0000
